北京 , 重庆 , 厦门航空 , MF5572 , 空客320 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 10:40:00 , 2024-01-20 13:55:00 , 97% , 1580
北京 , 重庆 , 厦门航空 , MF5574 , 空客320 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 16:55:00 , 2024-01-20 19:50:00 , 97% , 1580
北京 , 重庆 , 厦门航空 , MF5576 , 空客321 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 22:15:00 , 2024-01-21 01:10:00 , 100% , 1580
北京 , 重庆 , 厦门航空 , MF4669 , 空客321 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 13:15:00 , 2024-01-20 16:10:00 , 90% , 1150
北京 , 重庆 , 厦门航空 , MF3979 , 空客321 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 19:00:00 , 2024-01-20 22:15:00 , 90% , 1110
北京 , 重庆 , 厦门航空 , MF7100 , 波音737 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 17:00:00 , 2024-01-20 20:00:00 , 97% , 2150
北京 , 重庆 , 厦门航空 , MF4667 , 空客321 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 19:20:00 , 2024-01-20 22:10:00 , 100% , 1000
北京 , 重庆 , 厦门航空 , MF8453 , 波音737 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 12:15:00 , 2024-01-20 15:10:00 , 93% , 1010
北京 , 重庆 , 成都航空 , EU7132 , 空客320 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 16:55:00 , 2024-01-20 19:50:00 , 97% , 970
北京 , 重庆 , 成都航空 , EU7130 , 空客320 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 10:40:00 , 2024-01-20 13:55:00 , 97% , 1120
北京 , 重庆 , 成都航空 , EU7134 , 空客321 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 22:15:00 , 2024-01-21 01:10:00 , 100% , 970
北京 , 重庆 , 中国联合航空 , KN5717 , 空客330 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 08:00:00 , 2024-01-20 10:45:00 , 83% , 980
北京 , 重庆 , 中国联合航空 , KN6198 , 空客321 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 07:10:00 , 2024-01-20 09:55:00 , 80% , 1790
北京 , 重庆 , 中国联合航空 , KN6203 , 空客321 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 19:00:00 , 2024-01-20 22:15:00 , 90% , 1790
北京 , 重庆 , 中国联合航空 , KN6201 , 空客330 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 15:45:00 , 2024-01-20 18:40:00 , 97% , 1790
北京 , 重庆 , 华夏航空 , G56220 , 空客320 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 10:40:00 , 2024-01-20 13:55:00 , 97% , 1119
北京 , 重庆 , 天津航空 , GS5567 , 波音787 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 12:05:00 , 2024-01-20 14:50:00 , 93% , 1130
北京 , 重庆 , 天津航空 , GS5267 , 波音737 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 14:05:00 , 2024-01-20 17:10:00 , 97% , 990
北京 , 重庆 , 天津航空 , GS5167 , 波音737 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 08:15:00 , 2024-01-20 11:00:00 , 87% , 1130
北京 , 重庆 , 天津航空 , GS5367 , 波音737 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 22:05:00 , 2024-01-21 00:55:00 , 100% , 990
北京 , 重庆 , 海航旗下首都航 , JD5755 , 空客321 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 07:55:00 , 2024-01-20 10:50:00 , 97% , 1033
北京 , 重庆 , 四川航空 , 3U8834 , 空客321 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 22:15:00 , 2024-01-21 01:10:00 , 100% , 850
北京 , 重庆 , 四川航空 , 3U2393 , 波音737 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 12:15:00 , 2024-01-20 15:10:00 , 93% , 1010
北京 , 重庆 , 四川航空 , 3U8832 , 空客320 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 16:55:00 , 2024-01-20 19:50:00 , 97% , 970
北京 , 重庆 , 四川航空 , 3U8830 , 空客320 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 10:40:00 , 2024-01-20 13:55:00 , 97% , 1120
北京 , 重庆 , 四川航空 , 3U5357 , 空客330 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 15:45:00 , 2024-01-20 18:40:00 , 97% , 1190
北京 , 重庆 , 四川航空 , 3U1049 , 空客320 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 17:25:00 , 2024-01-20 20:20:00 , 97% , 980
北京 , 重庆 , 四川航空 , 3U5355 , 空客321 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 07:10:00 , 2024-01-20 09:55:00 , 80% , 1190
北京 , 重庆 , 海南航空 , HU7167 , 波音737 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 08:15:00 , 2024-01-20 11:00:00 , 87% , 1100
北京 , 重庆 , 海南航空 , HU7267 , 波音737 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 14:05:00 , 2024-01-20 17:10:00 , 97% , 966
北京 , 重庆 , 海南航空 , HU7367 , 波音737 , 首都国际机场 , PEK , 江北国际机场 , CKG , 2024-01-20 22:05:00 , 2024-01-21 00:55:00 , 100% , 899
